match_id,innings,team,bowler,overs,balls,runs,wickets,dots,fours,sixes,wides,noballs,economy,strike_rate,average
1,1,India,R Dhawan,4.0,24,42,1,7,6,1,1,0,10.5,24.0,42.0
1,1,India,JJ Bumrah,4.0,24,25,2,12,1,2,0,0,6.25,12.0,12.5
1,1,India,AR Patel,4.0,24,18,2,10,1,0,0,0,4.5,12.0,9.0
1,1,India,YS Chahal,4.0,24,41,1,5,1,3,0,1,10.25,24.0,41.0
1,2,Zimbabwe,DT Tiripano,4.0,24,36,1,10,3,1,3,0,9.0,24.0,36.0
1,2,Zimbabwe,N Madziva,4.0,24,35,1,8,4,0,4,0,8.75,24.0,35.0
1,2,Zimbabwe,T Muzarabani,4.0,24,31,2,8,3,1,0,0,7.75,12.0,15.5
1,2,Zimbabwe,CJ Chibhabha,2.0,12,13,2,6,2,0,0,0,6.5,6.0,6.5
1,2,Zimbabwe,Sikandar Raza,3.0,18,18,0,8,0,1,1,0,6.0,0.0,0.0
1,2,Zimbabwe,AG Cremer,3.0,18,35,0,4,1,3,1,0,11.67,0.0,0.0
2,1,India,BB Sran,4.0,24,14,4,14,1,0,1,0,3.5,6.0,3.5
2,1,India,DS Kulkarni,4.0,24,32,1,12,4,1,2,0,8.0,24.0,32.0
2,1,India,AR Patel,4.0,24,23,0,13,2,1,0,0,5.75,0.0,0.0
2,1,India,YS Chahal,4.0,24,19,1,12,1,0,1,1,4.75,24.0,19.0
2,1,India,JJ Bumrah,4.0,24,11,3,14,0,0,0,0,2.75,8.0,3.67
2,2,Zimbabwe,DT Tiripano,3.0,18,11,0,12,1,0,1,0,3.67,0.0,0.0
2,2,Zimbabwe,N Madziva,2.2,13,19,0,6,3,0,0,0,8.77,0.0,0.0
2,2,Zimbabwe,T Muzarabani,2.0,12,17,0,5,2,0,0,0,8.5,0.0,0.0
2,2,Zimbabwe,AG Cremer,3.0,18,24,0,5,1,1,1,0,8.0,0.0,0.0
2,2,Zimbabwe,CJ Chibhabha,2.0,12,23,0,1,0,2,0,1,11.5,0.0,0.0
2,2,Zimbabwe,Sikandar Raza,1.0,6,9,0,2,1,0,0,0,9.0,0.0,0.0
3,1,Zimbabwe,TL Chatara,4.0,24,34,0,12,4,2,0,0,8.5,0.0,0.0
3,1,Zimbabwe,DT Tiripano,4.0,24,20,3,11,1,0,0,0,5.0,8.0,6.67
3,1,Zimbabwe,N Madziva,4.0,24,33,2,10,2,1,2,0,8.25,12.0,16.5
3,1,Zimbabwe,CJ Chibhabha,4.0,24,19,0,11,1,0,1,0,4.75,0.0,0.0
3,1,Zimbabwe,AG Cremer,4.0,24,32,1,8,4,0,0,0,8.0,24.0,32.0
3,2,India,BB Sran,4.0,24,32,2,14,4,1,3,1,8.0,12.0,16.0
3,2,India,DS Kulkarni,4.0,24,29,2,10,4,0,0,0,7.25,12.0,14.5
3,2,India,JJ Bumrah,4.0,24,23,0,10,1,1,0,0,5.75,0.0,0.0
3,2,India,AR Patel,4.0,24,19,1,9,1,0,0,0,4.75,24.0,19.0
3,2,India,YS Chahal,4.0,24,32,1,11,1,3,0,0,8.0,24.0,32.0
1,1,New Zealand,BM Wheeler,4.0,24,22,2,14,2,0,4,0,5.5,12.0,11.0
1,1,New Zealand,MJ Henry,4.0,24,44,1,8,3,3,3,0,11.0,24.0,44.0
1,1,New Zealand,LH Ferguson,4.0,24,32,3,11,1,1,4,0,8.0,8.0,10.67
1,1,New Zealand,C de Grandhomme,4.0,24,23,1,9,0,1,2,0,5.75,24.0,23.0
1,1,New Zealand,MJ Santner,4.0,24,20,1,11,0,1,1,0,5.0,24.0,20.0
1,2,Bangladesh,Shakib Al Hasan,4.0,24,30,1,7,2,1,0,0,7.5,24.0,30.0
1,2,Bangladesh,Mashrafe Mortaza,3.0,18,23,1,4,1,1,0,0,7.67,18.0,23.0
1,2,Bangladesh,Rubel Hossain,4.0,24,43,1,6,4,2,0,1,10.75,24.0,43.0
1,2,Bangladesh,Mustafizur Rahman,4.0,24,21,1,9,1,0,1,0,5.25,24.0,21.0
1,2,Bangladesh,Mosaddek Hossain,2.0,12,9,0,5,0,0,0,0,4.5,0.0,0.0
1,2,Bangladesh,Soumya Sarkar,1.0,6,17,0,0,2,1,0,0,17.0,0.0,0.0
2,1,Bangladesh,Mashrafe Mortaza,4.0,24,38,1,7,4,1,0,0,9.5,24.0,38.0
2,1,Bangladesh,Rubel Hossain,4.0,24,37,4,7,3,1,0,0,9.25,6.0,9.25
2,1,Bangladesh,Mustafizur Rahman,4.0,24,31,0,5,3,0,1,1,7.75,0.0,0.0
2,1,Bangladesh,Shakib Al Hasan,4.0,24,34,1,8,2,1,2,0,8.5,24.0,34.0
2,1,Bangladesh,Mosaddek Hossain,2.0,12,22,1,3,1,2,0,0,11.0,12.0,22.0
2,1,Bangladesh,Mahmudullah,2.0,12,33,0,1,2,3,0,0,16.5,0.0,0.0
2,2,New Zealand,MJ Santner,3.0,18,14,1,7,0,0,1,0,4.67,18.0,14.0
2,2,New Zealand,TA Boult,3.0,18,33,1,6,5,0,1,0,11.0,18.0,33.0
2,2,New Zealand,BM Wheeler,2.2,13,16,2,7,1,0,2,0,7.38,6.5,8.0
2,2,New Zealand,C de Grandhomme,2.0,12,33,1,2,1,3,1,0,16.5,12.0,33.0
2,2,New Zealand,IS Sodhi,4.0,24,36,3,8,0,3,3,0,9.0,8.0,12.0
2,2,New Zealand,KS Williamson,4.0,24,16,2,12,1,0,0,0,4.0,12.0,8.0
3,1,Bangladesh,Mashrafe Mortaza,3.3,20,46,0,3,3,3,0,0,13.8,0.0,0.0
3,1,Bangladesh,Taskin Ahmed,4.0,24,38,0,10,2,3,2,0,9.5,0.0,0.0
