match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
4,ODI,2007/08,Multan Cricket Stadium,unknown,2007-10-26,male,50,6,SM Pollock,Pakistan,bat,South Africa,7,7,unknown,unknown,Pakistan,South Africa
5,ODI,2007/08,Gaddafi Stadium,Lahore,2007-10-29,male,50,6,M Ntini,South Africa,bat,South Africa,14,14,unknown,unknown,Pakistan,South Africa
1,ODI,2007/08,Eden Park,Auckland,2007-12-26,male,50,6,JM How,New Zealand,field,New Zealand,6,6,unknown,unknown,New Zealand,Bangladesh
2,ODI,2007/08,McLean Park,Napier,2007-12-28,male,50,6,PG Fulton,New Zealand,bat,New Zealand,102,102,unknown,unknown,New Zealand,Bangladesh
3,ODI,2007/08,Queenstown Events Centre,unknown,2007-12-31,male,50,6,DL Vettori,New Zealand,field,New Zealand,10,10,unknown,unknown,New Zealand,Bangladesh
1,ODI,2007/08,Westpac Stadium,Wellington,2008-02-09,male,50,6,SB Styris,England,bat,New Zealand,6,6,unknown,unknown,New Zealand,England
2,ODI,2007/08,Seddon Park,Hamilton,2008-02-12,male,50,6,JD Ryder,New Zealand,field,New Zealand,10,10,unknown,unknown,New Zealand,England
3,ODI,2007/08,Eden Park,Auckland,2008-02-15,male,50,6,PD Collingwood,England,field,England,6,6,unknown,unknown,New Zealand,England
4,ODI,2007/08,McLean Park,Napier,2008-02-20,male,50,6,JM How,New Zealand,field,unknown,unknown,0,unknown,unknown,New Zealand,England
5,ODI,2007/08,AMI Stadium,Christchurch,2008-02-23,male,50,6,BB McCullum,New Zealand,field,New Zealand,34,34,unknown,unknown,New Zealand,England
1,ODI,2007,Queens Sports Club,Bulawayo,2007-08-22,male,50,6,GB Brent,Zimbabwe,bat,South Africa,5,5,unknown,unknown,Zimbabwe,South Africa
2,ODI,2007,Harare Sports Club,unknown,2007-08-25,male,50,6,HH Gibbs,South Africa,field,South Africa,8,8,unknown,unknown,Zimbabwe,South Africa
3,ODI,2007,Harare Sports Club,unknown,2007-08-26,male,50,6,AB de Villiers,South Africa,bat,South Africa,28,28,unknown,unknown,Zimbabwe,South Africa
1,ODI,2007/08,Gymkhana Club Ground,Nairobi,2007-10-25,male,50,6,,Kenya,field,Kenya,8,8,unknown,unknown,Kenya,Bermuda
2,ODI,2007/08,Gymkhana Club Ground,Nairobi,2007-10-27,male,50,6,,Bermuda,bat,Kenya,3,3,unknown,unknown,Kenya,Bermuda
3,ODI,2007/08,Gymkhana Club Ground,Nairobi,2007-10-28,male,50,6,,Bermuda,bat,Kenya,1,1,unknown,unknown,Kenya,Bermuda
1,ODI,2007/08,Harare Sports Club,unknown,2007-11-30,male,50,6,CJ Chibhabha,West Indies,field,Zimbabwe,30,30,unknown,unknown,Zimbabwe,West Indies
2,ODI,2007/08,Harare Sports Club,unknown,2007-12-02,male,50,6,RS Morton,Zimbabwe,field,West Indies,110,110,unknown,unknown,Zimbabwe,West Indies
4,ODI,2007/08,Queens Sports Club,Bulawayo,2007-12-07,male,50,6,JE Taylor,West Indies,field,West Indies,5,5,unknown,unknown,Zimbabwe,West Indies
1,ODI,2007/08,"Queen's Park Oval, Port of Spain",Trinidad,2008-04-10,male,50,6,DJ Bravo,West Indies,field,West Indies,1,1,unknown,unknown,West Indies,Sri Lanka
2,ODI,2007/08,"Queen's Park Oval, Port of Spain",Trinidad,2008-04-12,male,50,6,S Chanderpaul,West Indies,field,West Indies,7,7,unknown,unknown,West Indies,Sri Lanka
3,ODI,2007/08,"Beausejour Stadium, Gros Islet",St Lucia,2008-04-15,male,50,6,,West Indies,field,unknown,unknown,0,unknown,unknown,West Indies,Sri Lanka
1,ODI,2008,"Arnos Vale Ground, Kingstown",St Vincent,2008-06-24,male,50,6,SE Marsh,West Indies,field,Australia,84,84,unknown,unknown,West Indies,Australia
2,ODI,2008,"National Cricket Stadium, St George's",Grenada,2008-06-27,male,50,6,MJ Clarke,Australia,bat,Australia,63,63,unknown,unknown,West Indies,Australia
3,ODI,2008,"National Cricket Stadium, St George's",Grenada,2008-06-29,male,50,6,SR Watson,Australia,field,Australia,7,7,unknown,unknown,West Indies,Australia
4,ODI,2008,"Warner Park, Basseterre",St Kitts,2008-07-04,male,50,6,A Symonds,West Indies,field,Australia,1,1,unknown,unknown,West Indies,Australia
5,ODI,2008,"Warner Park, Basseterre",St Kitts,2008-07-06,male,50,6,L Ronchi,Australia,bat,Australia,169,169,unknown,unknown,West Indies,Australia
1,ODI,2007/08,Chittagong Divisional Stadium,unknown,2008-03-09,male,50,6,GC Smith,Bangladesh,bat,South Africa,9,9,unknown,unknown,Bangladesh,South Africa
