match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
2,T20,2022/23,"GMHBA Stadium, South Geelong, Victoria",Geelong,2022-10-16,male,20,6,BFW de Leede,United Arab Emirates,bat,Netherlands,3,3,unknown,unknown,United Arab Emirates,Netherlands
3,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-17,male,20,6,HG Munsey,West Indies,field,Scotland,42,42,unknown,unknown,Scotland,West Indies
4,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-17,male,20,6,Sikandar Raza,Ireland,field,Zimbabwe,31,31,unknown,unknown,Zimbabwe,Ireland
5,T20,2022/23,"GMHBA Stadium, South Geelong, Victoria",Geelong,2022-10-18,male,20,6,BFW de Leede,Namibia,bat,Netherlands,5,5,unknown,unknown,Namibia,Netherlands
6,T20,2022/23,"GMHBA Stadium, South Geelong, Victoria",Geelong,2022-10-18,male,20,6,P Nissanka,United Arab Emirates,field,Sri Lanka,79,79,unknown,unknown,Sri Lanka,United Arab Emirates
7,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-19,male,20,6,C Campher,Scotland,bat,Ireland,6,6,unknown,unknown,Scotland,Ireland
8,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-19,male,20,6,AS Joseph,West Indies,bat,West Indies,31,31,unknown,unknown,West Indies,Zimbabwe
9,T20,2022/23,"GMHBA Stadium, South Geelong, Victoria",Geelong,2022-10-20,male,20,6,BKG Mendis,Sri Lanka,bat,Sri Lanka,16,16,unknown,unknown,Sri Lanka,Netherlands
10,T20,2022/23,"GMHBA Stadium, South Geelong, Victoria",Geelong,2022-10-20,male,20,6,Waseem Muhammad,United Arab Emirates,bat,United Arab Emirates,7,7,unknown,unknown,United Arab Emirates,Namibia
11,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-21,male,20,6,GJ Delany,West Indies,bat,Ireland,9,9,unknown,unknown,West Indies,Ireland
12,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-21,male,20,6,Sikandar Raza,Scotland,bat,Zimbabwe,5,5,unknown,unknown,Scotland,Zimbabwe
