match_id,team,player_name
3,South Africa,MN van Wyk
3,South Africa,JH Kallis
3,South Africa,HH Gibbs
3,South Africa,JP Duminy
3,South Africa,JM Kemp
3,South Africa,MV Boucher
3,South Africa,AJ Hall
3,South Africa,DW Steyn
3,South Africa,A Nel
3,South Africa,M Ntini
1,Bangladesh,Tamim Iqbal
1,Bangladesh,Shahriar Nafees
1,Bangladesh,Tushar Imran
1,Bangladesh,Shakib Al Hasan
1,Bangladesh,Mohammad Ashraful
1,Bangladesh,Aftab Ahmed
1,Bangladesh,Mushfiqur Rahim
1,Bangladesh,Farhad Reza
1,Bangladesh,Mashrafe Mortaza
1,Bangladesh,Abdur Razzak
1,Bangladesh,Syed Rasel
1,Sri Lanka,WU Tharanga
1,Sri Lanka,ST Jayasuriya
1,Sri Lanka,KC Sangakkara
1,Sri Lanka,DPMD Jayawardene
1,Sri Lanka,LPC Silva
1,Sri Lanka,TM Dilshan
1,Sri Lanka,J Mubarak
1,Sri Lanka,MF Maharoof
1,Sri Lanka,HMCM Bandara
1,Sri Lanka,SL Malinga
1,Sri Lanka,CRD Fernando
2,Bangladesh,Tamim Iqbal
2,Bangladesh,Shahriar Nafees
2,Bangladesh,Tushar Imran
2,Bangladesh,Mushfiqur Rahim
2,Bangladesh,Mohammad Ashraful
2,Bangladesh,Aftab Ahmed
2,Bangladesh,Shakib Al Hasan
2,Bangladesh,Farhad Reza
2,Bangladesh,Abdur Razzak
2,Bangladesh,Shahadat Hossain
2,Bangladesh,Syed Rasel
2,Sri Lanka,WU Tharanga
2,Sri Lanka,ST Jayasuriya
2,Sri Lanka,KC Sangakkara
2,Sri Lanka,DPMD Jayawardene
2,Sri Lanka,LPC Silva
2,Sri Lanka,TM Dilshan
2,Sri Lanka,J Mubarak
2,Sri Lanka,MF Maharoof
2,Sri Lanka,HMCM Bandara
2,Sri Lanka,SL Malinga
2,Sri Lanka,CRD Fernando
3,Bangladesh,Javed Omar
3,Bangladesh,Tamim Iqbal
3,Bangladesh,Mushfiqur Rahim
3,Bangladesh,Mohammad Ashraful
3,Bangladesh,Shakib Al Hasan
3,Bangladesh,Aftab Ahmed
3,Bangladesh,Mahmudullah
3,Bangladesh,Farhad Reza
3,Bangladesh,Abdur Razzak
3,Bangladesh,Shahadat Hossain
3,Bangladesh,Syed Rasel
3,Sri Lanka,WU Tharanga
3,Sri Lanka,ST Jayasuriya
3,Sri Lanka,KC Sangakkara
3,Sri Lanka,CK Kapugedera
3,Sri Lanka,J Mubarak
3,Sri Lanka,TM Dilshan
3,Sri Lanka,DPMD Jayawardene
3,Sri Lanka,MF Maharoof
3,Sri Lanka,UDU Chandana
3,Sri Lanka,KMDN Kulasekara
3,Sri Lanka,CRD Fernando
4,Netherlands,TN de Grooth
4,Netherlands,AN Kervezee
4,Netherlands,PW Borren
4,Netherlands,ES Szwarczynski
4,Netherlands,WF Stelling
4,Netherlands,RN ten Doeschate
4,Netherlands,B Zuiderent
4,Netherlands,HJC Mol
4,Netherlands,AF Buurman
4,Netherlands,J Smits
4,Netherlands,Mudassar Bukhari
4,Scotland,DF Watts
4,Scotland,RM Haq
4,Scotland,NS Poonia
4,Scotland,RR Watson
4,Scotland,RO Hussain
4,Scotland,NFI McCallum
4,Scotland,CJO Smith
4,Scotland,JAR Blain
4,Scotland,GD Drummond
4,Scotland,GA Rogers
4,Scotland,PJC Hoffmann
5,Ireland,WTS Porterfield
5,Ireland,EJG Morgan
5,Ireland,AC Botha
5,Ireland,NJ O'Brien
5,Ireland,KJ O'Brien
5,Ireland,AR Cusack
5,Ireland,MJ Fourie
5,Ireland,WK McCallan
5,Ireland,DT Johnston
5,Ireland,D Langford-Smith
5,Ireland,GE Kidd
5,West Indies,CH Gayle
5,West Indies,DR Smith
5,West Indies,RS Morton
5,West Indies,MN Samuels
5,West Indies,S Chanderpaul
5,West Indies,DS Smith
5,West Indies,D Ramdin
5,West Indies,DJG Sammy
5,West Indies,DBL Powell
5,West Indies,R Rampaul
5,West Indies,FH Edwards
1,Canada,Abdul Jabbar
1,Canada,Mohammad Iqbal
1,Canada,TC Bastiampillai
1,Canada,AA Mulla
1,Canada,AL Kandappah
1,Canada,A Shamshudeen
1,Canada,S Dhaniram
1,Canada,J Patraj
1,Canada,U Bhatti
1,Canada,CK Hooper
1,Canada,D Soraine
1,Kenya,MA Ouma
1,Kenya,DO Obuya
1,Kenya,NN Odhiambo
1,Kenya,AA Obanda
1,Kenya,SO Tikolo
1,Kenya,CO Obuya
1,Kenya,TM Odoyo
1,Kenya,JK Kamande
1,Kenya,LN Onyango
1,Kenya,HA Varaiya
1,Kenya,E Otieno
2,Canada,Mohammad Iqbal
2,Canada,Abdul Jabbar
2,Canada,TC Bastiampillai
2,Canada,AA Mulla
2,Canada,AL Kandappah
2,Canada,Qaiser Ali
2,Canada,S Dhaniram
2,Canada,U Bhatti
2,Canada,D Soraine
2,Canada,J Patraj
2,Canada,H Osinde
2,Kenya,MA Ouma
2,Kenya,DO Obuya
2,Kenya,NN Odhiambo
2,Kenya,AA Obanda
2,Kenya,SO Tikolo
2,Kenya,CO Obuya
2,Kenya,JK Kamande
2,Kenya,TM Odoyo
2,Kenya,LN Onyango
2,Kenya,AO Suji
2,Kenya,PJ Ongondo
1,England,IR Bell
1,England,LJ Wright
1,England,KP Pietersen
1,England,RS Bopara
1,England,PD Collingwood
1,England,OA Shah
1,England,TR Ambrose
1,England,GP Swann
1,England,SCJ Broad
1,England,JM Anderson
1,England,RJ Sidebottom
1,New Zealand,JM How
1,New Zealand,BB McCullum
1,New Zealand,JAH Marshall
1,New Zealand,LRPL Taylor
1,New Zealand,SB Styris
1,New Zealand,DR Flynn
1,New Zealand,GJ Hopkins
1,New Zealand,DL Vettori
1,New Zealand,KD Mills
1,New Zealand,TG Southee
1,New Zealand,MJ Mason
2,England,IR Bell
